"id_sector","tot_per_cen","opp_cen","opa_cen","temp_cen","desop","const_cen","tot_viv_cen","id_prov","dpa_despro","dpa_descan","dpa_despar","tot_viv_prec","tot_per_prec","ocup_prec","temp_prec","desop_prec","const_prec","colec_prec","id_can","id_par"
"030158999013",85,28,0,15,13,7,63,"03","CAÑAR","AZOGUES","SAN MIGUEL",59,76,25,22,6,6,0,"0301","030158"
"030158999014",132,50,1,13,9,0,73,"03","CAÑAR","AZOGUES","SAN MIGUEL",68,122,44,13,11,0,0,"0301","030158"
"030158999015",118,38,0,12,8,3,61,"03","CAÑAR","AZOGUES","SAN MIGUEL",63,141,40,4,11,8,0,"0301","030158"
"030158999016",105,35,0,15,15,11,76,"03","CAÑAR","AZOGUES","SAN MIGUEL",64,112,36,7,9,12,0,"0301","030158"
"030158999017",163,51,0,10,16,6,83,"03","CAÑAR","AZOGUES","SAN MIGUEL",81,142,39,18,20,4,0,"0301","030158"
"030158999018",91,31,0,11,6,2,50,"03","CAÑAR","AZOGUES","SAN MIGUEL",50,101,32,10,7,1,0,"0301","030158"
"030158999019",95,30,0,25,16,1,72,"03","CAÑAR","AZOGUES","SAN MIGUEL",71,104,29,25,16,1,0,"0301","030158"
"030158999020",128,42,0,15,16,5,78,"03","CAÑAR","AZOGUES","SAN MIGUEL",81,153,51,14,10,6,0,"0301","030158"
"030158999021",122,43,0,16,22,3,84,"03","CAÑAR","AZOGUES","SAN MIGUEL",79,122,40,16,18,5,0,"0301","030158"
"030158999022",117,41,0,23,25,3,92,"03","CAÑAR","AZOGUES","SAN MIGUEL",93,130,46,25,15,7,0,"0301","030158"
"030158999023",96,32,2,26,9,1,70,"03","CAÑAR","AZOGUES","SAN MIGUEL",70,96,30,29,8,3,0,"0301","030158"
"030158999024",77,25,0,41,5,2,73,"03","CAÑAR","AZOGUES","SAN MIGUEL",65,72,21,34,6,4,0,"0301","030158"
"030158999025",102,30,2,14,9,2,57,"03","CAÑAR","AZOGUES","SAN MIGUEL",61,104,30,12,17,2,0,"0301","030158"
